title,company,location,salary,tags,posted_date,source,link,scraped_at,confidence_score,credibility_score
Salesforce Engineering Manager (India),Flosum,IN,Not specified,Consulting And Business Services,2026-09-26,indeed,https://in.indeed.com/viewjob?jk=81ce76b710d615eb,2026-09-26T00:23:16Z,57,57
Senior Software Engineer,Optum India,"Gurgaon, Haryana, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, IT Services and IT Consulting",Not specified,linkedin,https://www.linkedin.com/jobs/view/4472043246,2026-09-26T00:23:16Z,90,90
"Principal Software Engineer- NLP, Gen AI, ML",Gartner,"HR, IN",Not specified,"fulltime, Consulting And Business Services",2026-09-26,indeed,https://in.indeed.com/viewjob?jk=f4023578e3b08ac3,2026-09-26T00:23:16Z,68,68
Cloud Native Full stack Java Developer,SAP Fioneer,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Information Technology, Non-profit Organizations and Primary and Secondary Education",Not specified,linkedin,https://www.linkedin.com/jobs/view/4470092697,2026-09-26T00:23:16Z,79,79
RPA Developer,LanceTech Solutions Pvt Ltd,"HR, IN",Not specified,fulltime,2026-09-26,indeed,https://in.indeed.com/viewjob?jk=bdea5e5ec059d17e,2026-09-26T00:23:16Z,57,57
Software Engineer,IRIS Business Services Limited,"Navi Mumbai, Maharashtra, India",Not specified,"fulltime, mid-senior level, Information Technology, Financial Services",Not specified,linkedin,https://www.linkedin.com/jobs/view/4470314283,2026-09-26T00:23:16Z,56,56
Oracle Developer,Unknown,"CH, IN",Not specified,fulltime,2026-09-26,indeed,https://in.indeed.com/viewjob?jk=adc36f1f43321831,2026-09-26T00:23:16Z,81,81
"Staff, Software Engineer",Walmart Global Tech,"Bengaluru, Karnataka, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Software Development",Not specified,linkedin,https://www.linkedin.com/jobs/view/4470199686,2026-09-26T00:23:16Z,82,82
Senior Embedded Software Engineer (Modern C++),SANSID SOLUTIONS LLP,"TS, IN",Not specified,fulltime,2026-09-26,indeed,https://in.indeed.com/viewjob?jk=76734f494cbaa631,2026-09-26T00:23:16Z,88,88
Software Engineer - Backend,GE Vernova,"Bengaluru, Karnataka, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Energy Technology",Not specified,linkedin,https://www.linkedin.com/jobs/view/4443960138,2026-09-26T00:23:16Z,71,71
